OPEN,CLOSE,HIGH,LOW,gap_pct,volatilidade_anterior,categoria_gap,probabilidade,volatilidade_ultima_hora,probabilidade_vol_ultimas1hEgap,volatilidade_ultimos_30min,probabilidade_vol_ultimas30minEgap,volatilidade_ultimos_15min,probabilidade_vol_ultimas15minEgap,volatilidade_ultimos_90min,probabilidade_vol_ultimas90minEgap,media_diaria,media_anterior,tempo_para_entrar_na_media_dia-1,tempo_para_atingir_o_maximo,tempo_para_atingir_o_minimo,faixa_gap,forca_abertura_10minutos,DIVERGENCIA_ABERTURA,ALVO_FECHOU_GAP_30MIN
98565,99045,99730,98530,,,indefinido,indefinido,0.0002751318807711,0.0,0.0003188485779093,0.0,0.0004237700692347,0.0,0.0003748471139784,0.0,99156.96721311477,,11.0,203.0,0.0,Neutro,0.0913103028458377,,
99340,98700,99435,98280,0.297844414155182,1.2179031766974526,gap_positivo_medio,0.4236760124610592,0.0003279756402163,0.4722222222222222,0.0003149113736775,0.4722222222222222,0.0003594931499171,0.4722222222222222,0.0003141959871216,0.4722222222222222,98826.68691588784,99156.96721311477,395.0,0.0,500.0,Baixo Positivo,-0.146309469754301,0.0,0.0
99150,98940,100170,98570,0.4559270516717325,1.1752136752136753,gap_positivo_medio,0.4236760124610592,0.0002208270525987,0.4722222222222222,0.0002221465616312,0.4722222222222222,0.0001960141531351,0.4722222222222222,0.0002580112425982,0.4722222222222222,99402.14018691589,98826.68691588784,4.0,197.0,420.0,Baixo Positivo,-0.0403979195071453,1.0,0.0
99200,100930,100970,99120,0.2627855265817667,1.62321193060769,gap_positivo_medio,0.4236760124610592,0.0003963936247824,0.4722222222222222,0.0004696569180873,0.4722222222222222,0.0005989697618605,0.4722222222222222,0.0004075497340253,0.4722222222222222,100354.59813084111,99402.14018691589,90.0,342.0,1.0,Baixo Positivo,0.2211610957527017,0.0,0.0
100500,100710,101875,100280,-0.4260378480134746,1.8664245359160607,gap_negativo_medio,0.3177570093457944,0.0003397392476922,0.3333333333333333,0.0002710858039776,0.3333333333333333,0.0003525576199704,0.3333333333333333,0.000336754915856,0.3333333333333333,101020.52803738318,100354.59813084111,93.0,262.0,90.0,Baixo Negativo,0.0347895233835296,1.0,1.0
100660,102375,102445,100565,-0.0496475027306126,1.5905464698843237,gap_quase_nulo,0.15264797507788164,0.0002685774809473,0.1388888888888889,0.0003228843847157,0.1388888888888889,0.0004165221316362,0.1388888888888889,0.0002443474707479,0.1388888888888889,101596.14485981308,101020.52803738318,345.0,534.0,1.0,Neutro,-0.2972798890155081,1.0,1.0
102420,101630,102480,101275,0.0439560439560439,1.869437677124248,gap_quase_nulo,0.15264797507788164,0.0002471384944332,0.1388888888888889,0.0002002726080023,0.1388888888888889,0.000217919969775,0.1388888888888889,0.0002431551350103,0.1388888888888889,101775.02336448598,101596.14485981308,92.0,0.0,475.0,Neutro,-0.3374908290535583,1.0,1.0
100845,101355,101970,99940,-0.7724097215389157,1.1898296716860035,gap_negativo_medio,0.3177570093457944,0.0002497752929602,0.3333333333333333,0.0001750142570432,0.3333333333333333,0.0001766277256688,0.3333333333333333,0.0003089978386237,0.3333333333333333,101137.92990654203,101775.02336448598,91.0,144.0,332.0,Médio Negativo,0.1535565682583713,1.0,1.0
101890,98850,101940,98770,0.5278476641507572,2.031218731238744,gap_positivo_medio,0.3060109289617486,0.0004246962791594,0.4722222222222222,0.0004989589174539,0.4722222222222222,0.0005840129164128,0.4722222222222222,0.000379948666338,0.4722222222222222,100513.21495327105,101137.92990654203,,0.0,534.0,Médio Positivo,0.0,0.0,0.0
98300,95130,98375,95130,-0.556398583712696,3.209476561709021,gap_negativo_medio,0.3137254901960784,0.0003830444756793,0.3333333333333333,0.0004148506889937,0.3333333333333333,0.0004722499510934,0.3333333333333333,0.0004472128611308,0.3333333333333333,96533.67011278195,100513.21495327105,378.0,0.0,531.0,Médio Negativo,-0.2602306357791611,0.0,0.0
95235,95765,96895,93555,0.1103752759381898,3.411121623042153,gap_positivo_medio,0.37254901960784315,0.0005419668496054,0.4722222222222222,0.0005675734711991,0.4722222222222222,0.0006710846008811,0.4722222222222222,0.0005341214338596,0.4722222222222222,95666.09345794392,96533.67011278195,1.0,474.0,105.0,Baixo Positivo,-0.4713275726630008,1.0,1.0
95505,94535,96340,93630,-0.2714979376598966,3.570092458981348,gap_negativo_medio,0.3137254901960784,0.0008249864670401,0.3333333333333333,0.0008233282693936,0.3333333333333333,0.0006741212773288,0.3333333333333333,0.0008193837043069,0.3333333333333333,94780.19699812382,95666.09345794392,,57.0,421.0,Baixo Negativo,-0.3272727272727272,0.0,0.0
96090,95750,96535,95135,1.6448934257153436,2.894371462138204,gap_positivo_alto,0.14754098360655737,0.0007274520571131,0.0,0.0007858614070185,0.0,0.0009871267589325,0.0,0.0006495561464385,0.0,95797.26785714286,94780.19699812382,,522.0,412.0,Médio Positivo,-0.0782758440745186,1.0,0.0
96155,98390,98470,96155,0.422976501305483,1.4715929994218742,gap_positivo_medio,0.4236760124610592,0.0006106780480696,0.4722222222222222,0.000631114484437,0.4722222222222222,0.0008185948111485,0.4722222222222222,0.0005992475617283,0.4722222222222222,97740.83185840708,95797.26785714286,,396.0,0.0,Baixo Positivo,0.2825729551993423,0.0,0.0
99285,101080,101120,99150,0.909645289155402,2.4075711091466903,gap_positivo_alto,0.14754098360655737,0.0003995346749703,0.0,0.0004780307779803,0.0,0.000548974321092,0.0,0.0003968702367869,0.0,100165.18303571428,97740.83185840708,38.0,462.0,1.0,Médio Positivo,-0.0300812192920886,1.0,0.0
