DATE,OPEN,CLOSE,HIGH,LOW,gap_pct,volatilidade_anterior,categoria_gap,probabilidade,volatilidade_ultima_hora,probabilidade_vol_ultimas1hEgap,volatilidade_ultimos_30min,probabilidade_vol_ultimas30minEgap,volatilidade_ultimos_15min,probabilidade_vol_ultimas15minEgap,volatilidade_ultimos_90min,probabilidade_vol_ultimas90minEgap,media_diaria
2020-11-11,105410,105135,105565,104245,0.5005482194784764,2.46638939936164,gap_positivo_medio,0.3060109289617486,0.0003598984193011666,0.4722222222222222,0.0004335734168048782,0.4722222222222222,0.0005369590805687939,0.4722222222222222,0.00037460823128924266,0.4722222222222222,104882.88495575222
2020-11-12,104855,102900,105250,102145,-0.26632424977409996,1.2662477816681856,gap_negativo_medio,0.3177570093457944,0.0005122467415057348,0.3333333333333333,0.0005968190869158073,0.3333333333333333,0.0007363202118912459,0.3333333333333333,0.00048323361621380536,0.3333333333333333,103650.76991150442
2020-11-13,103355,104975,105200,103075,0.44217687074829937,3.0397963679083655,gap_positivo_medio,0.37254901960784315,0.0003945794661067967,0.4722222222222222,0.00046557743353303435,0.4722222222222222,0.000628703110097081,0.4722222222222222,0.0003763946299066044,0.4722222222222222,104057.12946428571
2020-11-16,106250,106880,106880,105275,1.214574898785425,2.0616056269706524,gap_positivo_alto,0.14754098360655737,0.0003327869405620117,0.0,0.0003095892901836923,0.0,0.00033157718032010184,0.0,0.0004033212869191849,0.0,106038.01615798923
2020-11-17,106250,107500,107935,105915,-0.5894461077844311,1.5245784849204465,gap_negativo_medio,0.3177570093457944,0.00028974530432090685,0.3333333333333333,0.000305366024603766,0.3333333333333333,0.0003241845352339311,0.3333333333333333,0.0002807949570992065,0.3333333333333333,107006.41592920353
2020-11-18,107885,105900,107920,105900,0.3581395348837209,1.907189727611764,gap_positivo_medio,0.4236760124610592,0.00044778656738680354,0.4722222222222222,0.0003748527737020762,0.4722222222222222,0.0003129302150113978,0.4722222222222222,0.0004486583131424838,0.4722222222222222,106907.09292035399
2020-11-19,105850,106550,107140,105580,-0.047214353163361665,1.9074598677998111,gap_quase_nulo,0.15264797507788164,0.00047321599604827346,0.1388888888888889,0.0005590865434341711,0.1388888888888889,0.000716917786246024,0.1388888888888889,0.0004127224689017008,0.1388888888888889,106387.0
2020-11-20,106845,106200,107115,105705,0.2768653214453308,1.4775525667740101,gap_positivo_medio,0.4236760124610592,0.0004255433584430758,0.4722222222222222,0.0005112350462280386,0.4722222222222222,0.00043773897502437923,0.4722222222222222,0.00041709589942828297,0.4722222222222222,106329.75221238939
2020-11-23,106935,107450,107610,106630,0.692090395480226,1.3339009507591881,gap_positivo_medio,0.4236760124610592,0.00023144917428431522,0.4722222222222222,0.00023475972409618776,0.4722222222222222,0.00020249287272477672,0.4722222222222222,0.00024668898857729756,0.4722222222222222,107112.70796460177
2020-11-24,108115,110190,110325,107575,0.6188925081433224,0.9190659289130638,gap_positivo_medio,0.4722222222222222,0.0003228705461132804,0.4722222222222222,0.00033552104133275024,0.4722222222222222,0.00035893980675129523,0.4722222222222222,0.00032482278009461315,0.4722222222222222,109065.56194690266
2020-11-25,109550,110060,110715,109300,-0.5808149559851167,2.5563560306762727,gap_negativo_medio,0.31693989071038253,0.00037618994159191514,0.3333333333333333,0.00031253495079661657,0.3333333333333333,0.00038128339763090206,0.3333333333333333,0.00038642804395261875,0.3333333333333333,109918.70353982301
2020-11-26,109915,110325,110400,109405,-0.13174632018898783,1.2946020128087832,gap_negativo_medio,0.3177570093457944,0.0002175873877473912,0.3333333333333333,0.00020181398568803536,0.3333333333333333,0.00020998004684498754,0.3333333333333333,0.00020771505970918454,0.3333333333333333,109903.4424778761
2020-11-27,110485,110390,111680,110325,0.14502605937004304,0.9094648325030849,gap_positivo_medio,0.4722222222222222,0.0003109281002413758,0.4722222222222222,0.000367307684627147,0.4722222222222222,0.0004570049714312523,0.4722222222222222,0.00044744155908786745,0.4722222222222222,111025.22566371682
2020-11-30,110075,109495,111065,108830,-0.2853519340519975,1.2281894402900522,gap_negativo_medio,0.3177570093457944,0.0007651100658023156,0.3333333333333333,0.0009453990305415701,0.3333333333333333,0.0008774490550383199,0.3333333333333333,0.0006750054464927893,0.3333333333333333,109771.09734513274
2020-12-01,110690,111400,111965,110325,1.0913740353440795,2.053661674170725,gap_positivo_alto,0.14754098360655737,0.0002535822891552099,0.0,0.0002950934631758427,0.0,0.0002599993838428462,0.0,0.000281825483149936,0.0,111113.20661896243
2020-12-02,111350,111905,112355,110625,-0.04488330341113106,1.4865171085429414,gap_quase_nulo,0.15264797507788164,0.00028822304947756646,0.1388888888888889,0.0003440018659875949,0.1388888888888889,0.00043783950005624704,0.1388888888888889,0.00028940101629775774,0.1388888888888889,111497.69026548673
2020-12-03,111805,112450,113440,111750,-0.089361511996783,1.5638418079096046,gap_quase_nulo,0.15264797507788164,0.0007219730684789422,0.1388888888888889,0.0006765231975384583,0.1388888888888889,0.0004653779722939195,0.1388888888888889,0.0006093396622454752,0.1388888888888889,112731.91592920353
2020-12-04,112975,113525,113940,112875,0.4668741662961316,1.512304250559284,gap_positivo_medio,0.4236760124610592,0.0003857644266521336,0.4722222222222222,0.00031425728881198656,0.4722222222222222,0.00035253631392071784,0.4722222222222222,0.00038277025126749785,0.4722222222222222,113552.08407079647
2020-12-07,113090,113750,114575,112505,-0.38317551200176175,0.9435215946843853,gap_negativo_medio,0.3333333333333333,0.0008782270899877364,0.3333333333333333,0.0004277364702172254,0.3333333333333333,0.0003360951769335053,0.3333333333333333,0.0010702591175151494,0.3333333333333333,114008.23008849558
2020-12-08,113120,113750,114385,112750,-0.5538461538461538,1.8399182258566287,gap_negativo_medio,0.3177570093457944,0.00032390392193737107,0.3333333333333333,0.0003163129799532081,0.3333333333333333,0.0003030480617076159,0.3333333333333333,0.00030917380804991164,0.3333333333333333,113661.96017699115
2020-12-09,114040,112990,114190,112455,0.2549450549450549,1.4501108647450112,gap_positivo_medio,0.4236760124610592,0.0003090863561887878,0.4722222222222222,0.0002657360896409928,0.4722222222222222,0.00021799840671440535,0.4722222222222222,0.0003138127189535929,0.4722222222222222,113257.7610619469
