DATE,ALVO_FECHOU_GAP_30MIN,GAP_NA_FAIXA_IDEAL,DIVERGENCIA_ABERTURA,GAP_ALTA,GAP_PORCENTAGEM_norm,DIAS_DESDE_ULTIMO_GAP_norm,VOLATILIDADE_ANTERIOR_norm,FORCA_ABERTURA_10MIN_norm,TEND_Aumentando,TEND_Diminuindo,TEND_Estável
2021-02-05,0,0,0,1,0.4759,0.0714,0.3195,0.6011,True,False,False
2021-02-08,1,0,1,1,0.4864,0.0714,0.3151,0.3909,False,False,True
2021-02-09,0,1,0,0,0.4349,0.0714,0.3169,0.5063,False,False,True
2021-02-10,1,0,1,0,0.4239,0.0714,0.3118,0.5514,False,False,True
2021-02-11,0,0,0,1,0.5041,0.0714,0.336,0.5633,True,False,False
2021-02-12,0,1,0,0,0.4291,0.0714,0.3262,0.4252,False,False,True
2021-02-17,0,0,1,1,0.5039,0.2143,0.3026,0.4732,False,True,False
2021-02-18,1,1,1,1,0.4691,0.0714,0.3051,0.5396,False,False,True
2021-02-19,0,0,1,0,0.3796,0.0714,0.4148,0.6137,True,False,False
2021-02-22,0,0,0,0,0.0,0.0714,0.2524,0.5443,False,True,False
2021-02-23,0,1,0,1,0.4731,0.0714,0.5192,0.6488,True,False,False
2021-02-24,0,0,0,1,0.5428,0.0714,0.385,0.5711,False,True,False
2021-02-25,1,1,1,0,0.4462,0.0714,0.287,0.5957,False,True,False
2021-02-26,1,0,1,0,0.4075,0.0714,0.6534,0.6448,True,False,False
2021-03-01,0,0,0,1,0.5669,0.0714,0.6294,0.651,False,True,False
2021-03-02,0,0,0,0,0.2581,0.0714,0.4104,0.2773,False,True,False
2021-03-03,0,0,0,0,0.371,0.0714,0.9982,0.3486,True,False,False
2021-03-04,1,0,1,1,0.4914,0.0714,0.9664,0.3595,False,True,False
2021-03-05,0,0,1,1,0.4949,0.0714,0.6006,0.5041,False,True,False
2021-03-08,0,0,0,0,0.2455,0.0714,0.5884,0.4492,False,False,True
2021-03-09,0,0,1,0,0.3194,0.0714,0.6272,0.763,True,False,False
2021-03-10,0,0,1,1,0.4991,0.0714,0.6573,0.5113,True,False,False
2021-03-11,0,0,0,1,0.562,0.0714,0.5838,0.604,False,True,False
2021-03-12,0,0,0,0,0.4044,0.0714,0.3366,0.4475,False,True,False
2021-03-15,0,0,1,0,0.4156,0.0714,0.224,0.5842,False,True,False
2021-03-16,0,1,0,0,0.4306,0.0714,0.3086,0.4925,True,False,False
2021-03-17,0,0,0,0,0.4008,0.0714,0.2979,0.5268,False,False,True
